Code;Libellé;Population au dernier recensement 2021;Médiane du revenu disponible par UC 2020;Part des 60-74 ans 2021;Part des moins de 15 ans 2021;Part des 15-29 ans 2021;Part des 30-44 ans 2021;Part des 45-59 ans 2021;Nombre d'équipements sportifs 2023;Taux d'équipements sportifs pour 1 000 habitants 2023;Nombre grandes surfaces 2023;Nombre de supérettes et épieries;Nombre boulangeries et patisseries;Nombre écoles primaires maternelles élémentaires;Nombre de collèges;Nombre de lycées;Nombre de médecins généralistes;Nombre de dentistes;Nombre de pharmacies
1241;Meillonnas;1383;24700;20.7;17.5;11.8;19.4;22.5;8;5.8;0;1;2;1;0;0;1;0;0
1242;Mérignat;136;18460;16.3;20.1;20.7;20;18.6;0;0;0;0;0;0;0;0;0;0;0
1243;Messimy-sur-Saône;1288;26300;18.7;18.5;14.3;16.7;25;6;4.8;0;1;0;1;0;0;0;0;0
1244;Meximieux;8085;23970;14.7;20.9;16.7;20.5;18.8;20;2.5;5;3;6;7;1;0;5;7;3
1245;Bohas-Meyriat-Rignat;965;24350;16.6;23.5;13.2;19.1;19.8;4;4.2;0;0;1;1;0;0;0;0;0
1246;Mézériat;2192;23060;18.1;19;16.1;18.4;19.3;11;5;0;1;1;2;0;0;2;1;1
1247;Mijoux;297;31340;19.6;18.1;11.7;21;24.5;5;16.7;0;1;0;1;0;0;0;0;0
1248;Mionnay;2227;28350;16.1;18.2;16.1;17.1;27.3;12;5.3;0;0;2;1;0;0;2;1;1
1249;Miribel;10225;25630;13.8;21.9;15.6;21.1;19.7;36;3.5;1;7;10;6;2;2;10;5;3
1250;Misérieux;1994;26020;15.5;21.3;17.7;20.4;18.9;13;6.6;0;0;1;1;0;1;0;0;1
1252;Mogneneins;803;25040;17.5;22.3;12.1;20.1;20.2;3;3.8;0;0;0;1;0;0;0;0;0
1254;Montagnat;2145;26820;19.2;19.9;12.6;19.2;23.3;9;4.2;2;1;1;1;0;0;2;1;0
1255;Montagnieu;666;21790;16.1;23.8;15.1;20.2;17.1;0;0;0;0;0;1;0;0;0;0;0
1257;Montanges;350;28690;15.7;18.3;16.8;18.9;21.5;1;2.8;0;0;0;1;0;0;0;0;0
1258;Montceaux;1198;26250;20.3;20.3;12.3;17.8;24.2;8;6.7;1;0;1;1;1;0;0;0;0
1259;Montcet;704;24430;12.7;21.4;15.6;21.2;24.3;2;2.8;0;0;1;1;0;0;0;0;0
1260;Le Montellier;319;26460;12.9;25.5;12.5;22.9;20.2;1;3.3;0;0;0;1;0;0;0;0;0
1261;Monthieux;682;27470;17.1;19.3;14.5;17;26.2;7;10.3;0;0;0;1;0;0;0;0;0
