code_insee;mediane_du_revenu_disponible_par_uc_2020;part_des_60-74_ans_2021;part_des_moins_de_15_ans_2021;part_des_15-29_ans_2021;part_des_30-44_ans_2021;part_des_45-59_ans_2021;nombre_grandes_surfaces_2023;nombre_de_superettes_et_epieries;nombre_boulangeries_et_patisseries;nombre_ecoles_primaires_maternelles_elementaires;nombre_de_colleges;nombre_de_lycees;nombre_de_medecins_generalistes;nombre_de_dentistes;nombre_de_pharmacies;taux_evolution;taux_evolution_due_solde_migratoire;taux_evolution_due_solde_naturel;nombre_d_equipements_sportifs;nombre_de_festivals
63285;19510;21.5;14.6;14.0;16.6;16.9;1;2;5;1;1;0;7;3;2;-0.16;0.75;-0.91;7;0.0
63291;21250;20.3;14.6;13.5;15.5;21.6;0;2;4;2;1;0;5;3;1;-0.09;0.25;-0.33;13;0.0
63295;20290;16.9;18.1;14.2;17.7;17.3;1;0;2;2;0;0;3;2;1;0.5;1.72;-1.21;7;0.0
63305;21180;17.9;10.7;19.0;16.5;17.1;2;0;1;1;1;1;3;3;1;-0.88;0.27;-1.14;5;0.0
63338;19160;24.5;14.3;13.2;12.6;20.3;3;1;5;3;2;1;1;0;2;-1.09;-0.35;-0.74;27;0.0
63352;21600;19.4;16.4;14.0;16.8;21.1;1;1;3;2;1;0;5;4;1;0.63;1.23;-0.6;8;2.0
63354;20080;24.3;12.4;15.7;12.1;19.4;2;0;4;2;1;1;1;1;1;-1.13;0.27;-1.4;12;1.0
63415;20530;18.6;18.3;11.3;20.1;18.2;1;0;3;2;0;0;2;1;1;1.17;2.44;-1.27;9;2.0
63457;24170;19.1;19.1;13.0;19.0;20.7;3;2;2;4;1;0;8;2;2;0.7;0.57;0.13;22;1.0
63470;24210;18.0;18.3;14.5;19.4;21.4;0;1;3;4;2;0;4;1;1;1.18;0.93;0.25;20;1.0
64062;21510;19.2;16.6;11.8;16.5;20.6;1;0;3;2;1;0;7;0;2;0.31;0.64;-0.32;17;0.0
64063;20680;18.3;17.4;16.2;15.2;19.4;2;1;1;2;1;0;0;1;1;-0.7;0.67;-1.37;8;0.0
