Code;Libellé;Aires d'attraction des villes 2020;insee_com;lib_com;Proximité
58134;Imphy;T02_20;58134;Imphy;2.0
58145;Lormes;T00_30;58145;Lormes;4.0
58149;Luzy;T00_30;58149;Luzy;4.0
58151;La Machine;T01_20;58151;La Machine;1.0
58182;Moulins-Engilbert;T00_30;58182;Moulins-Engilbert;4.0
58218;Prémery;T02_20;58218;Prémery;2.0
58227;Saint-Amand-en-Puisaye;T00_30;58227;Saint-Amand-en-Puisaye;4.0
58232;Saint-Benin-d'Azy;T02_20;58232;Saint-Benin-d'Azy;2.0
58250;Saint-Léger-des-Vignes;T01_10;58250;Saint-Léger-des-Vignes;1.0
58267;Saint-Saulge;T00_30;58267;Saint-Saulge;4.0
58304;Varzy;T01_20;58304;Varzy;1.0
59008;Aniche;T02_20;59008;Aniche;2.0
59015;Arleux;T02_20;59015;Arleux;2.0
59035;Avesnelles;T01_10;59035;Avesnelles;1.0
59036;Avesnes-sur-Helpe;T01_10;59036;Avesnes-sur-Helpe;1.0
59037;Avesnes-les-Aubert;T02_20;59037;Avesnes-les-Aubert;2.0
59053;Bavay;T02_20;59053;Bavay;2.0
59136;Le Cateau-Cambrésis;T01_10;59136;Le Cateau-Cambrésis;1.0
59139;Caudry;T01_10;59139;Caudry;1.0
59153;Condé-sur-l'Escaut;T03_20;59153;Condé-sur-l'Escaut;
59249;Fourmies;T01_10;59249;Fourmies;1.0
59331;Landrecies;T00_30;59331;Landrecies;4.0
59481;Le Quesnoy;T03_20;59481;Le Quesnoy;
59525;Sains-du-Nord;T00_30;59525;Sains-du-Nord;4.0
59571;Solesmes;T01_10;59571;Solesmes;1.0
59574;Somain;T01_10;59574;Somain;1.0
60029;Auneuil;T02_20;60029;Auneuil;2.0
60103;Bresles;T02_20;60103;Bresles;2.0
60104;Breteuil;T01_10;60104;Breteuil;1.0
60157;Clermont;T45_20;60157;Clermont;3.0
60178;Crèvecœur-le-Grand;T02_20;60178;Crèvecœur-le-Grand;2.0
60245;Formerie;T00_30;60245;Formerie;4.0
60286;Grandvilliers;T02_20;60286;Grandvilliers;2.0
60333;Lachapelle-aux-Pots;T02_20;60333;Lachapelle-aux-Pots;2.0
60395;Méru;T45_20;60395;Méru;3.0
60439;Mouy;T45_20;60439;Mouy;3.0
60471;Noyon;T01_10;60471;Noyon;1.0
60509;Pont-Sainte-Maxence;T45_20;60509;Pont-Sainte-Maxence;3.0
60577;Saint-Germer-de-Fly;T02_20;60577;Saint-Germer-de-Fly;2.0
61007;Athis-Val de Rouvre;T02_20;61007;Athis-Val de Rouvre;2.0
61038;Bellême;T00_30;61038;Bellême;4.0
61063;Briouze;T00_30;61063;Briouze;4.0
61074;Carrouges;T00_30;61074;Carrouges;4.0
61145;Domfront en Poiraie;T01_10;61145;Domfront en Poiraie;1.0
61153;Écouché-les-Vallées;T01_20;61153;Écouché-les-Vallées;1.0
61168;La Ferté Macé;T01_10;61168;La Ferté Macé;1.0
61181;Gacé;T00_30;61181;Gacé;4.0
61214;L'Aigle;T01_10;61214;L'Aigle;1.0
61230;Longny les Villages;T00_30;61230;Longny les Villages;4.0
61258;Le Mêle-sur-Sarthe;T02_20;61258;Le Mêle-sur-Sarthe;2.0
61293;Mortagne-au-Perche;T01_10;61293;Mortagne-au-Perche;1.0
61339;Putanges-le-Lac;T00_30;61339;Putanges-le-Lac;4.0
61345;Rémalard en Perche;T00_30;61345;Rémalard en Perche;4.0
61464;Sées;T01_10;61464;Sées;1.0
61483;Bagnoles de l'Orne Normandie;T01_10;61483;Bagnoles de l'Orne Normandie;1.0
61484;Val-au-Perche;T01_20;61484;Val-au-Perche;1.0
61486;Tinchebray-Bocage;T02_20;61486;Tinchebray-Bocage;2.0
61494;Trun;T01_20;61494;Trun;1.0
61508;Vimoutiers;T00_30;61508;Vimoutiers;4.0
62014;Aire-sur-la-Lys;T01_10;62014;Aire-sur-la-Lys;1.0
62048;Auchel;T02_10;62048;Auchel;2.0
62060;Auxi-le-Château;T00_30;62060;Auxi-le-Château;4.0
62063;Avesnes-le-Comte;T02_20;62063;Avesnes-le-Comte;2.0
62080;Bapaume;T01_10;62080;Bapaume;1.0
62186;Bully-les-Mines;T03_20;62186;Bully-les-Mines;
62194;Calonne-Ricouart;T02_10;62194;Calonne-Ricouart;2.0
62215;Carvin;T45_20;62215;Carvin;3.0
62268;Desvres;T02_20;62268;Desvres;2.0
62361;Frévent;T00_30;62361;Frévent;4.0
62364;Fruges;T01_10;62364;Fruges;1.0
62397;Guînes;T02_20;62397;Guînes;2.0
62447;Hesdin;T01_10;62447;Hesdin;1.0
62516;Lillers;T02_10;62516;Lillers;2.0
62534;Lumbres;T02_20;62534;Lumbres;2.0
62560;Marquise;T02_20;62560;Marquise;2.0
62563;Mazingarbe;T03_20;62563;Mazingarbe;
62588;Montreuil-sur-Mer;T01_10;62588;Montreuil-sur-Mer;1.0
62667;Le Portel;T02_10;62667;Le Portel;2.0
62758;Saint-Martin-Boulogne;T02_10;62758;Saint-Martin-Boulogne;2.0
62894;Wimille;T02_20;62894;Wimille;2.0
62907;Libercourt;T45_20;62907;Libercourt;3.0
63001;Aigueperse;T03_20;63001;Aigueperse;
63003;Ambert;T01_10;63003;Ambert;1.0
63004;Les Ancizes-Comps;T00_30;63004;Les Ancizes-Comps;4.0
63009;Ardes;T01_20;63009;Ardes;1.0
63010;Arlanc;T01_20;63010;Arlanc;1.0
63038;Besse-et-Saint-Anastaise;T00_30;63038;Besse-et-Saint-Anastaise;4.0
63040;Billom;T03_20;63040;Billom;
63047;La Bourboule;T00_30;63047;La Bourboule;4.0
63048;Bourg-Lastic;T00_30;63048;Bourg-Lastic;4.0
63050;Brassac-les-Mines;T01_20;63050;Brassac-les-Mines;1.0
63080;Champeix;T03_20;63080;Champeix;
63103;Châtel-Guyon;T03_20;63103;Châtel-Guyon;
63116;Combronde;T03_20;63116;Combronde;
63125;Courpière;T01_20;63125;Courpière;1.0
63132;Cunlhat;T00_30;63132;Cunlhat;4.0
63165;Giat;T00_30;63165;Giat;4.0
63195;Lezoux;T03_20;63195;Lezoux;
63210;Maringues;T03_20;63210;Maringues;
63236;Mont-Dore;T00_30;63236;Mont-Dore;4.0
63245;Mozac;T03_20;63245;Mozac;
63281;Pionsat;T00_30;63281;Pionsat;4.0
63283;Pontaumur;T00_30;63283;Pontaumur;4.0
63285;Pontgibaud;T03_20;63285;Pontgibaud;
63291;Puy-Guillaume;T01_20;63291;Puy-Guillaume;1.0
63295;Randan;T00_30;63295;Randan;4.0
63305;Rochefort-Montagne;T00_30;63305;Rochefort-Montagne;4.0
63338;Saint-Éloy-les-Mines;T01_10;63338;Saint-Éloy-les-Mines;1.0
63352;Saint-Germain-Lembron;T01_20;63352;Saint-Germain-Lembron;1.0
63354;Saint-Gervais-d'Auvergne;T00_30;63354;Saint-Gervais-d'Auvergne;4.0
63415;Sauxillanges;T01_20;63415;Sauxillanges;1.0
63457;Vic-le-Comte;T03_20;63457;Vic-le-Comte;
63470;Volvic;T03_20;63470;Volvic;
64062;Arudy;T03_20;64062;Arudy;
64063;Arzacq-Arraziguet;T03_20;64063;Arzacq-Arraziguet;
64233;Garlin;T00_30;64233;Garlin;4.0
64256;Hasparren;T03_20;64256;Hasparren;
64260;Hendaye;T01_10;64260;Hendaye;1.0
64320;Laruns;T00_30;64320;Laruns;4.0
64331;Lembeye;T03_20;64331;Lembeye;
64371;Mauléon-Licharre;T01_10;64371;Mauléon-Licharre;1.0
64405;Morlaàs;T03_20;64405;Morlaàs;
64410;Mourenx;T01_10;64410;Mourenx;1.0
64416;Navarrenx;T00_30;64416;Navarrenx;4.0
64417;Nay;T03_20;64417;Nay;
64422;Oloron-Sainte-Marie;T01_10;64422;Oloron-Sainte-Marie;1.0
64430;Orthez;T01_10;64430;Orthez;1.0
64453;Pontacq;T03_20;64453;Pontacq;
64485;Saint-Jean-Pied-de-Port;T01_10;64485;Saint-Jean-Pied-de-Port;1.0
64493;Saint-Palais;T01_10;64493;Saint-Palais;1.0
64499;Salies-de-Béarn;T01_10;64499;Salies-de-Béarn;1.0
64513;Sauveterre-de-Béarn;T00_30;64513;Sauveterre-de-Béarn;4.0
64519;Serres-Castet;T03_20;64519;Serres-Castet;
65025;Argelès-Gazost;T01_10;65025;Argelès-Gazost;1.0
65031;Arreau;T00_30;65031;Arreau;4.0
65059;Bagnères-de-Bigorre;T01_10;65059;Bagnères-de-Bigorre;1.0
65129;Castelnau-Magnoac;T00_30;65129;Castelnau-Magnoac;4.0
65138;Cauterets;T00_30;65138;Cauterets;4.0
65258;Lannemezan;T01_10;65258;Lannemezan;1.0
65287;Loures-Barousse;T00_30;65287;Loures-Barousse;4.0
65304;Maubourguet;T01_10;65304;Maubourguet;1.0
65375;Rabastens-de-Bigorre;T02_20;65375;Rabastens-de-Bigorre;2.0
65388;Saint-Lary-Soulan;T00_30;65388;Saint-Lary-Soulan;4.0
65389;Saint-Laurent-de-Neste;T01_20;65389;Saint-Laurent-de-Neste;1.0
65447;Tournay;T02_20;65447;Tournay;2.0
65452;Trie-sur-Baïse;T00_30;65452;Trie-sur-Baïse;4.0
65460;Vic-en-Bigorre;T02_20;65460;Vic-en-Bigorre;2.0
66003;Amélie-les-Bains-Palalda;T01_10;66003;Amélie-les-Bains-Palalda;1.0
66004;Les Angles;T00_30;66004;Les Angles;4.0
66009;Arles-sur-Tech;T01_10;66009;Arles-sur-Tech;1.0
66016;Banyuls-sur-Mer;T01_10;66016;Banyuls-sur-Mer;1.0
66024;Le Boulou;T03_20;66024;Le Boulou;
66025;Bourg-Madame;T00_30;66025;Bourg-Madame;4.0
66049;Céret;T01_10;66049;Céret;1.0
66065;Elne;T03_20;66065;Elne;
66071;Estagel;T03_20;66071;Estagel;
66088;Ille-sur-Têt;T03_20;66088;Ille-sur-Têt;
66108;Millas;T03_20;66108;Millas;
66124;Font-Romeu-Odeillo-Via;T00_30;66124;Font-Romeu-Odeillo-Via;4.0
66125;Olette;T01_20;66125;Olette;1.0
66130;Osséja;T00_30;66130;Osséja;4.0
66148;Port-Vendres;T00_30;66148;Port-Vendres;4.0
66149;Prades;T01_10;66149;Prades;1.0
66164;Rivesaltes;T03_20;66164;Rivesaltes;
66167;Saillagouse;T00_30;66167;Saillagouse;4.0
66180;Saint-Laurent-de-la-Salanque;T03_20;66180;Saint-Laurent-de-la-Salanque;
66187;Saint-Paul-de-Fenouillet;T03_20;66187;Saint-Paul-de-Fenouillet;
66210;Thuir;T03_20;66210;Thuir;
66222;Vernet-les-Bains;T01_20;66222;Vernet-les-Bains;1.0
66230;Vinça;T03_20;66230;Vinça;
67020;Barembach;T00_30;67020;Barembach;4.0
67021;Barr;T45_20;67021;Barr;3.0
67061;Bouxwiller;T01_10;67061;Bouxwiller;1.0
67066;La Broque;T00_30;67066;La Broque;4.0
67095;Diemeringen;T00_30;67095;Diemeringen;4.0
67101;Dorlisheim;T45_20;67101;Dorlisheim;3.0
67105;Drulingen;T00_30;67105;Drulingen;4.0
67176;Gundershoffen;T02_20;67176;Gundershoffen;2.0
67222;Ingwiller;T45_20;67222;Ingwiller;3.0
67281;Marckolsheim;T01_10;67281;Marckolsheim;1.0
67282;Marlenheim;T45_20;67282;Marlenheim;3.0
67291;Mertzwiller;T02_20;67291;Mertzwiller;2.0
67300;Molsheim;T45_20;67300;Molsheim;3.0
67313;Mutzig;T45_20;67313;Mutzig;3.0
67324;Niederbronn-les-Bains;T01_10;67324;Niederbronn-les-Bains;1.0
67388;Reichshoffen;T01_10;67388;Reichshoffen;1.0
67414;Rothau;T00_30;67414;Rothau;4.0
67434;Sarre-Union;T01_10;67434;Sarre-Union;1.0
67448;Schirmeck;T45_20;67448;Schirmeck;3.0
67507;Villé;T02_20;67507;Villé;2.0
67520;Wasselonne;T45_20;67520;Wasselonne;3.0
67544;Wissembourg;T01_10;67544;Wissembourg;1.0
68004;Altkirch;T03_20;68004;Altkirch;
68068;Dannemarie;T03_20;68068;Dannemarie;
68162;Kaysersberg Vignoble;T02_20;68162;Kaysersberg Vignoble;2.0
68201;Masevaux-Niederbruck;T03_20;68201;Masevaux-Niederbruck;
68226;Munster;T02_20;68226;Munster;2.0
68231;Neuf-Brisach;T02_20;68231;Neuf-Brisach;2.0
68249;Orbey;T02_20;68249;Orbey;2.0
68287;Rouffach;T01_10;68287;Rouffach;1.0
68298;Sainte-Marie-aux-Mines;T01_10;68298;Sainte-Marie-aux-Mines;1.0
68334;Thann;T03_20;68334;Thann;
69006;Amplepuis;T01_10;69006;Amplepuis;1.0
69010;L'Arbresle;T45_20;69010;L'Arbresle;3.0
69018;Beaujeu;T00_30;69018;Beaujeu;4.0
69019;Belleville-en-Beaujolais;T01_10;69019;Belleville-en-Beaujolais;1.0
69066;Cours;T01_10;69066;Cours;1.0
69141;Mornant;T45_20;69141;Mornant;3.0
69171;Sain-Bel;T45_20;69171;Sain-Bel;3.0
69176;Soucieu-en-Jarrest;T45_20;69176;Soucieu-en-Jarrest;3.0
69201;Sainte-Foy-l'Argentière;T45_20;69201;Sainte-Foy-l'Argentière;3.0
69238;Saint-Symphorien-sur-Coise;T45_20;69238;Saint-Symphorien-sur-Coise;3.0
69248;Thizy-les-Bourgs;T01_10;69248;Thizy-les-Bourgs;1.0
69287;Saint-Bonnet-de-Mure;T45_20;69287;Saint-Bonnet-de-Mure;3.0
69288;Saint-Laurent-de-Mure;T45_20;69288;Saint-Laurent-de-Mure;3.0
69289;Saint-Pierre-de-Chandieu;T45_20;69289;Saint-Pierre-de-Chandieu;3.0
70026;Arc-lès-Gray;T01_10;70026;Arc-lès-Gray;1.0
70120;Champagney;T02_20;70120;Champagney;2.0
70122;Champlitte;T01_20;70122;Champlitte;1.0
70198;Dampierre-sur-Salon;T01_20;70198;Dampierre-sur-Salon;1.0
70228;Faverney;T02_20;70228;Faverney;2.0
70279;Gray;T01_10;70279;Gray;1.0
70285;Héricourt;T02_20;70285;Héricourt;2.0
70292;Jussey;T00_30;70292;Jussey;4.0
70310;Lure;T01_10;70310;Lure;1.0
70311;Luxeuil-les-Bains;T01_10;70311;Luxeuil-les-Bains;1.0
70421;Port-sur-Saône;T02_20;70421;Port-sur-Saône;2.0
70451;Ronchamp;T02_20;70451;Ronchamp;2.0
70467;Saint-Loup-sur-Semouse;T01_10;70467;Saint-Loup-sur-Semouse;1.0
70482;Scey-sur-Saône-et-Saint-Albin;T02_20;70482;Scey-sur-Saône-et-Saint-Albin;2.0
71047;Bourbon-Lancy;T01_10;71047;Bourbon-Lancy;1.0
71073;Chagny;T02_20;71073;Chagny;2.0
71106;Charolles;T01_10;71106;Charolles;1.0
71120;Chauffailles;T01_10;71120;Chauffailles;1.0
71133;La Clayette;T00_30;71133;La Clayette;4.0
71137;Cluny;T02_20;71137;Cluny;2.0
71157;Cuiseaux;T00_30;71157;Cuiseaux;4.0
71158;Cuisery;T00_30;71158;Cuisery;4.0
71176;Digoin;T01_10;71176;Digoin;1.0
71178;Dompierre-les-Ormes;T02_20;71178;Dompierre-les-Ormes;2.0
71190;Épinac;T01_20;71190;Épinac;1.0
71192;Étang-sur-Arroux;T01_20;71192;Étang-sur-Arroux;1.0
71230;Gueugnon;T01_10;71230;Gueugnon;1.0
71263;Louhans;T01_10;71263;Louhans;1.0
71289;Matour;T00_30;71289;Matour;4.0
71310;Montchanin;T01_20;71310;Montchanin;1.0
