Code;Libellé;Taux d'équipements socio-culturels pour 10 000 habitants 2023;Taux d'équipements sportifs pour 1 000 habitants 2023;Nombre d'équipements sportifs 2023;Nombre d'équipements socio-culturels 2023;Nombre de licenciés sportifs pour 100 habitants 2021
84133;La Tour-d'Aigues;4.6;2.5;11.0;2.0;21.3
85047;Challans;1.8;2.4;52.0;4.0;28.5
85065;Chavagnes-en-Paillers;2.8;2.0;7.0;1.0;27.2
85152;Les Achards;5.6;3.8;20.0;3.0;31.5
85288;Talmont-Saint-Hilaire;3.8;2.4;19.0;3.0;28.3
86070;Chauvigny;5.6;3.4;24.0;4.0;22.5
86078;Civray;11.7;7.8;20.0;3.0;22.3
86092;Dangé-Saint-Romain;3.4;4.7;14.0;1.0;17.6
86193;Pleumartin;8.3;5.8;7.0;1.0;46.5
87011;Bellac;11.1;4.7;17.0;4.0;22.0
87040;Châteauneuf-la-Forêt;13.1;4.6;7.0;2.0;17.8
88095;Châtenois;11.6;4.7;8.0;2.0;19.8
88114;Contrexéville;6.4;5.8;18.0;2.0;16.4
88124;Darney;9.4;6.6;7.0;1.0;8.9
88181;Fraize;3.5;3.2;9.0;1.0;12.3
88304;Mirecourt;6.2;4.4;21.0;3.0;17.6
89046;Bléneau;8.6;4.3;5.0;1.0;13.1
89257;Migennes;2.7;3.7;27.0;2.0;15.7
89418;Tonnerre;9.2;2.8;12.0;4.0;15.8
89461;Villeneuve-l'Archevêque;9.0;6.3;7.0;1.0;14.0
91359;Maisse;3.6;2.8;8.0;1.0;15.0
91405;Milly-la-Forêt;6.5;3.2;15.0;3.0;22.6
95652;Viarmes;1.9;2.5;13.0;1.0;25.4
97115;Lamentin;0.6;1.1;19.0;1.0;13.9
97357;Grand-Santi;0.0;0.6;5.0;0.0;0.4
97401;Les Avirons;1.7;1.7;20.0;2.0;19.8
;;;;;;
01185;Plateau d'Hauteville;4.1;6.0;29.0;2.0;18.5
01244;Meximieux;2.5;2.5;20.0;2.0;21.9
01269;Nantua;8.7;3.5;12.0;3.0;18.9
01305;Pont-de-Vaux;9.1;6.4;14.0;2.0;17.5
01350;Saint-Étienne-du-Bois;3.9;4.3;11.0;1.0;23.2
01420;Thoissey;6.0;7.8;13.0;1.0;19.6
01443;Villars-les-Dombes;6.1;3.6;18.0;3.0;22.0
02141;La Capelle;5.6;7.9;14.0;1.0;11.0
02430;Liesse-Notre-Dame;7.9;6.3;8.0;1.0;35.9
02502;Montcornet;7.7;3.9;5.0;1.0;11.2
02602;Pinon;6.0;7.2;12.0;1.0;10.5
02738;Tergnier;2.2;3.1;42.0;3.0;14.0
02758;Vailly-sur-Aisne;0.0;3.0;6.0;0.0;14.2
02810;Villers-Cotterêts;2.9;3.1;32.0;3.0;16.5
03036;Bourbon-l'Archambault;7.8;5.1;13.0;2.0;29.1
03082;Commentry;4.9;3.1;19.0;3.0;17.4
03161;Marcillat-en-Combraille;11.1;6.7;6.0;1.0;23.7
03298;Varennes-sur-Allier;2.7;4.9;18.0;1.0;23.5
04088;Forcalquier;7.8;4.1;21.0;4.0;17.2
04209;Sisteron;3.9;2.6;20.0;3.0;15.8
05050;Espinasses;12.2;3.6;3.0;1.0;10.2
05070;Laragne-Montéglin;5.6;5.6;20.0;2.0;14.1
05132;Saint-Bonnet-en-Champsaur;9.6;6.7;14.0;2.0;36.4
05166;Serres;0.0;11.6;15.0;0.0;64.8
06023;Breil-sur-Roya;4.7;5.7;12.0;1.0;12.4
06103;Roquebillière;0.0;6.6;12.0;0.0;20.1
07132;Largentière;6.4;6.4;10.0;1.0;18.6
08419;Signy-l'Abbaye;7.4;3.0;4.0;1.0;13.2
08491;Vrigne aux Bois;0.0;4.5;16.0;0.0;15.2
10034;Bar-sur-Seine;3.4;3.4;10.0;1.0;14.9
10064;Brienne-le-Château;7.3;4.7;13.0;2.0;18.1
10080;Chaource;9.8;6.9;7.0;1.0;15.4
10140;Ervy-le-Châtel;8.9;4.4;5.0;1.0;19.7
11103;Couiza;8.9;7.1;8.0;1.0;21.9
11266;Port-la-Nouvelle;1.7;3.4;20.0;1.0;17.2
11304;Quillan;6.4;7.0;22.0;2.0;17.9
11379;Sigean;5.4;3.1;17.0;3.0;18.9
12089;Decazeville;5.8;4.2;22.0;3.0;19.0
12198;Rieupeyroux;10.3;5.7;11.0;2.0;26.2
14027;Les Monts d'Aunay;4.4;2.2;10.0;2.0;14.0
14035;Balleroy-sur-Drôme;0.0;4.5;6.0;0.0;16.6
14061;Souleuvre en Bocage;3.4;3.2;28.0;3.0;13.2
14098;Thue et Mue;4.9;3.3;20.0;3.0;20.2
14126;Cambremer;15.1;4.5;6.0;2.0;19.5
14143;Caumont-sur-Aure;12.5;2.9;7.0;3.0;14.9
14225;Dives-sur-Mer;7.6;2.7;14.0;4.0;16.7
14312;Grandcamp-Maisy;0.0;4.6;7.0;0.0;17.1
14333;Honfleur;8.9;3.9;26.0;6.0;24.3
14342;Isigny-sur-Mer;2.8;3.3;12.0;1.0;10.1
14431;Mézidon Vallée d'Auge;3.1;2.0;19.0;3.0;21.9
14654;Saint-Pierre-en-Auge;5.5;2.6;19.0;4.0;15.9
14711;Trévières;10.9;8.7;8.0;1.0;21.3
15175;Saint-Cernin;9.4;3.8;4.0;1.0;31.4
16106;Confolens;7.4;5.5;15.0;2.0;22.3
16192;Terres-de-Haute-Charente;5.2;5.7;22.0;2.0;14.5
16281;La Rochefoucauld-en-Angoumois;5.0;3.5;14.0;2.0;18.4
16286;Rouillac;10.2;3.1;9.0;3.0;15.9
16366;Segonzac;4.8;5.3;11.0;1.0;15.3
17224;Matha;9.2;5.1;11.0;2.0;20.0
17240;Montendre;6.2;6.5;21.0;2.0;18.5
17331;Saint-Genis-de-Saintonge;16.1;11.3;14.0;2.0;17.9
17421;Saujon;1.4;2.9;21.0;1.0;18.7
18057;Châteaumeillant;11.5;7.5;13.0;2.0;16.9
18087;Dun-sur-Auron;2.8;3.6;13.0;1.0;15.6
18241;Sancerre;14.9;5.2;7.0;2.0;30.7
19011;Arnac-Pompadour;8.7;6.1;7.0;1.0;21.7
19036;Chamberet;7.1;11.4;16.0;1.0;14.9
19138;Meyssac;7.9;4.8;6.0;1.0;32.0
21501;Pouilly-en-Auxois;6.5;5.2;8.0;1.0;24.0
22004;Bégard;2.1;4.6;22.0;1.0;20.4
22050;Dinan;4.1;2.2;32.0;6.0;24.8
22136;Loudéac;4.1;4.5;43.0;4.0;20.6
22137;Maël-Carhaix;6.8;4.1;6.0;1.0;15.3
22143;Matignon;5.9;3.5;6.0;1.0;25.0
22147;Merdrignac;6.8;6.1;18.0;2.0;23.2
22222;Plouha;2.2;3.3;15.0;1.0;25.6
22362;Tréguier;16.6;5.0;12.0;4.0;18.8
23008;Aubusson;9.4;6.6;21.0;3.0;13.9
23025;Bonnat;7.4;10.4;14.0;1.0;33.0
23045;Chambon-sur-Voueize;11.6;11.6;10.0;1.0;31.5
23079;Felletin;6.5;14.2;22.0;1.0;28.5
23089;Genouillac;13.8;5.5;4.0;1.0;20.0
23105;Lavaveix-les-Mines;15.7;4.7;3.0;1.0;7.5
23176;La Souterraine;8.1;6.3;31.0;4.0;22.8
24028;Beaumontois en Périgord;5.5;7.2;13.0;1.0;17.5
24294;Montpon-Ménestérol;3.4;3.8;22.0;2.0;14.4
24396;Saint-Cyprien;6.5;6.5;10.0;1.0;16.7
25047;Baume-les-Dames;4.0;4.4;22.0;2.0;21.4
25237;Fesches-le-Châtel;4.6;1.8;4.0;1.0;11.2
25315;L'Isle-sur-le-Doubs;3.5;6.7;19.0;1.0;15.2
25411;Morteau;7.3;3.9;27.0;5.0;25.3
