Code;Libellé;Aires d'attraction des villes 2020;insee_com;lib_com;Echelle_influence;Dans_influence
15268;Le Rouget-Pers;T02_20;15268;Le Rouget-Pers;3.0;Oui
16005;Aigre;T00_30;16005;Aigre;1.0;Non
16028;Barbezieux-Saint-Hilaire;T01_10;16028;Barbezieux-Saint-Hilaire;2.0;Oui
16073;Chalais;T00_30;16073;Chalais;1.0;Non
16090;Châteauneuf-sur-Charente;T00_30;16090;Châteauneuf-sur-Charente;1.0;Non
16106;Confolens;T01_10;16106;Confolens;2.0;Oui
16167;Jarnac;T02_20;16167;Jarnac;3.0;Oui
16192;Terres-de-Haute-Charente;T00_30;16192;Terres-de-Haute-Charente;1.0;Non
16206;Mansle-les-Fontaines;T00_30;16206;Mansle-les-Fontaines;1.0;Non
16223;Montbron;T00_30;16223;Montbron;1.0;Non
16230;Montmoreau;T00_30;16230;Montmoreau;1.0;Non
16281;La Rochefoucauld-en-Angoumois;T02_20;16281;La Rochefoucauld-en-Angoumois;3.0;Oui
16286;Rouillac;T00_30;16286;Rouillac;1.0;Non
16292;Ruffec;T01_10;16292;Ruffec;2.0;Oui
16366;Segonzac;T00_30;16366;Segonzac;1.0;Non
16408;Villebois-Lavalette;T02_20;16408;Villebois-Lavalette;3.0;Oui
17024;Aulnay;T00_30;17024;Aulnay;1.0;Non
17127;Courçon;T03_20;17127;Courçon;;Non
17172;Gémozac;T00_30;17172;Gémozac;1.0;Non
17197;Jonzac;T01_10;17197;Jonzac;2.0;Oui
17218;Marans;T03_20;17218;Marans;;Non
17219;Marennes-Hiers-Brouage;T01_10;17219;Marennes-Hiers-Brouage;2.0;Oui
17224;Matha;T00_30;17224;Matha;1.0;Non
17236;Mirambeau;T00_30;17236;Mirambeau;1.0;Non
17240;Montendre;T00_30;17240;Montendre;1.0;Non
17241;Montguyon;T00_30;17241;Montguyon;1.0;Non
17283;Pons;T01_10;17283;Pons;2.0;Oui
17284;Pont-l'Abbé-d'Arnoult;T02_20;17284;Pont-l'Abbé-d'Arnoult;3.0;Oui
17309;Saint-Aigulin;T00_30;17309;Saint-Aigulin;1.0;Non
17331;Saint-Genis-de-Saintonge;T00_30;17331;Saint-Genis-de-Saintonge;1.0;Non
17347;Saint-Jean-d'Angély;T01_10;17347;Saint-Jean-d'Angély;2.0;Oui
17385;Saint-Pierre-d'Oléron;T00_30;17385;Saint-Pierre-d'Oléron;1.0;Non
17387;Saint-Porchaire;T02_20;17387;Saint-Porchaire;3.0;Oui
17397;Saint-Savinien;T00_30;17397;Saint-Savinien;1.0;Non
17421;Saujon;T02_20;17421;Saujon;3.0;Oui
17434;Surgères;T01_10;17434;Surgères;2.0;Oui
18003;Les Aix-d'Angillon;T02_20;18003;Les Aix-d'Angillon;3.0;Oui
18015;Aubigny-sur-Nère;T01_10;18015;Aubigny-sur-Nère;2.0;Oui
18018;Avord;T02_20;18018;Avord;3.0;Oui
18023;Baugy;T02_20;18023;Baugy;3.0;Oui
18057;Châteaumeillant;T00_30;18057;Châteaumeillant;1.0;Non
18058;Châteauneuf-sur-Cher;T02_20;18058;Châteauneuf-sur-Cher;3.0;Oui
18087;Dun-sur-Auron;T02_20;18087;Dun-sur-Auron;3.0;Oui
18108;La Guerche-sur-l'Aubois;T02_20;18108;La Guerche-sur-l'Aubois;3.0;Oui
18109;Henrichemont;T02_20;18109;Henrichemont;3.0;Oui
18127;Lignières;T00_30;18127;Lignières;1.0;Non
18141;Mehun-sur-Yèvre;T02_20;18141;Mehun-sur-Yèvre;3.0;Oui
18197;Saint-Amand-Montrond;T01_10;18197;Saint-Amand-Montrond;2.0;Oui
18207;Saint-Florent-sur-Cher;T02_20;18207;Saint-Florent-sur-Cher;3.0;Oui
18223;Saint-Martin-d'Auxigny;T02_20;18223;Saint-Martin-d'Auxigny;3.0;Oui
18233;Saint-Satur;T01_10;18233;Saint-Satur;2.0;Oui
18241;Sancerre;T01_10;18241;Sancerre;2.0;Oui
18242;Sancoins;T00_30;18242;Sancoins;1.0;Non
19010;Argentat-sur-Dordogne;T01_10;19010;Argentat-sur-Dordogne;2.0;Oui
19011;Arnac-Pompadour;T00_30;19011;Arnac-Pompadour;1.0;Non
19019;Beaulieu-sur-Dordogne;T01_20;19019;Beaulieu-sur-Dordogne;;Non
19023;Beynat;T02_20;19023;Beynat;3.0;Oui
19028;Bort-les-Orgues;T01_10;19028;Bort-les-Orgues;2.0;Oui
19036;Chamberet;T00_30;19036;Chamberet;1.0;Non
19073;Égletons;T01_10;19073;Égletons;2.0;Oui
19121;Lubersac;T00_30;19121;Lubersac;1.0;Non
19138;Meyssac;T02_20;19138;Meyssac;3.0;Oui
19148;Neuvic;T00_30;19148;Neuvic;1.0;Non
19269;Treignac;T00_30;19269;Treignac;1.0;Non
19275;Ussel;T01_10;19275;Ussel;2.0;Oui
19276;Uzerche;T01_10;19276;Uzerche;2.0;Oui
21023;Arnay-le-Duc;T00_30;21023;Arnay-le-Duc;1.0;Non
21038;Auxonne;T03_20;21038;Auxonne;;Non
21103;Brazey-en-Plaine;T03_20;21103;Brazey-en-Plaine;;Non
21154;Châtillon-sur-Seine;T01_10;21154;Châtillon-sur-Seine;2.0;Oui
21292;Genlis;T03_20;21292;Genlis;;Non
21317;Is-sur-Tille;T03_20;21317;Is-sur-Tille;;Non
21425;Montbard;T01_10;21425;Montbard;2.0;Oui
21501;Pouilly-en-Auxois;T00_30;21501;Pouilly-en-Auxois;1.0;Non
21554;Saint-Jean-de-Losne;T03_20;21554;Saint-Jean-de-Losne;;Non
21584;Saulieu;T00_30;21584;Saulieu;1.0;Non
21603;Semur-en-Auxois;T01_10;21603;Semur-en-Auxois;2.0;Oui
21607;Seurre;T00_30;21607;Seurre;1.0;Non
21663;Venarey-les-Laumes;T01_10;21663;Venarey-les-Laumes;2.0;Oui
21710;Vitteaux;T00_30;21710;Vitteaux;1.0;Non
22004;Bégard;T02_20;22004;Bégard;3.0;Oui
22020;Broons;T01_10;22020;Broons;2.0;Oui
22025;Callac;T00_30;22025;Callac;1.0;Non
22032;Caulnes;T00_30;22032;Caulnes;1.0;Non
22050;Dinan;T01_10;22050;Dinan;2.0;Oui
22070;Guingamp;T01_10;22070;Guingamp;2.0;Oui
22084;Jugon-les-Lacs;T00_30;22084;Jugon-les-Lacs - Commune nouvelle;1.0;Non
22093;Lamballe-Armor;T03_20;22093;Lamballe-Armor;;Non
22121;Lanvollon;T00_30;22121;Lanvollon;1.0;Non
22136;Loudéac;T01_10;22136;Loudéac;2.0;Oui
22137;Maël-Carhaix;T01_20;22137;Maël-Carhaix;;Non
22143;Matignon;T00_30;22143;Matignon;1.0;Non
22147;Merdrignac;T00_30;22147;Merdrignac;1.0;Non
22158;Guerlédan;T00_30;22158;Guerlédan;1.0;Non
22162;Paimpol;T01_10;22162;Paimpol;2.0;Oui
22172;Plancoët;T01_10;22172;Plancoët;2.0;Oui
22183;Plémet;T01_20;22183;Plémet;;Non
22194;Plestin-les-Grèves;T02_20;22194;Plestin-les-Grèves;3.0;Oui
22203;Plœuc-L'Hermitage;T03_20;22203;Plœuc-L'Hermitage;;Non
22206;Châtelaudren-Plouagat;T03_20;22206;Châtelaudren-Plouagat;;Non
22207;Plouaret;T02_20;22207;Plouaret;3.0;Oui
22222;Plouha;T00_30;22222;Plouha;1.0;Non
22262;Quintin;T03_20;22262;Quintin;;Non
22266;Rostrenen;T01_10;22266;Rostrenen;2.0;Oui
22321;Saint-Nicolas-du-Pélem;T00_30;22321;Saint-Nicolas-du-Pélem;1.0;Non
22362;Tréguier;T01_10;22362;Tréguier;2.0;Oui
23001;Ahun;T01_20;23001;Ahun;;Non
23008;Aubusson;T01_10;23008;Aubusson;2.0;Oui
23013;Auzances;T00_30;23013;Auzances;1.0;Non
23021;Bénévent-l'Abbaye;T01_20;23021;Bénévent-l'Abbaye;;Non
23025;Bonnat;T01_20;23025;Bonnat;;Non
23030;Bourganeuf;T00_30;23030;Bourganeuf;1.0;Non
23031;Boussac;T00_30;23031;Boussac;1.0;Non
23045;Chambon-sur-Voueize;T00_30;23045;Chambon-sur-Voueize;1.0;Non
23061;Chénérailles;T00_30;23061;Chénérailles;1.0;Non
23067;La Courtine;T00_30;23067;La Courtine;1.0;Non
23069;Crocq;T00_30;23069;Crocq;1.0;Non
23070;Crozant;T00_30;23070;Crozant;1.0;Non
23075;Dun-le-Palestel;T01_20;23075;Dun-le-Palestel;;Non
23076;Évaux-les-Bains;T00_30;23076;Évaux-les-Bains;1.0;Non
23079;Felletin;T00_30;23079;Felletin;1.0;Non
23089;Genouillac;T00_30;23089;Genouillac;1.0;Non
23093;Gouzon;T00_30;23093;Gouzon;1.0;Non
23100;Jarnages;T01_20;23100;Jarnages;;Non
23105;Lavaveix-les-Mines;T01_20;23105;Lavaveix-les-Mines;;Non
23131;Mérinchal;T00_30;23131;Mérinchal;1.0;Non
23176;La Souterraine;T01_10;23176;La Souterraine;2.0;Oui
23247;Saint-Vaury;T01_20;23247;Saint-Vaury;;Non
24028;Beaumontois en Périgord;T00_30;24028;Beaumontois en Périgord;1.0;Non
24035;Pays de Belvès;T00_30;24035;Pays de Belvès;1.0;Non
24064;Brantôme en Périgord;T00_30;24064;Brantôme en Périgord;1.0;Non
24068;Le Buisson-de-Cadouin;T00_30;24068;Le Buisson-de-Cadouin;1.0;Non
24164;Excideuil;T00_30;24164;Excideuil;1.0;Non
24167;Eymet;T00_30;24167;Eymet;1.0;Non
24212;Issigeac;T02_20;24212;Issigeac;3.0;Oui
24223;Lalinde;T00_30;24223;Lalinde;1.0;Non
24227;Lanouaille;T00_30;24227;Lanouaille;1.0;Non
24294;Montpon-Ménestérol;T01_10;24294;Montpon-Ménestérol;2.0;Oui
24299;Mussidan;T00_30;24299;Mussidan;1.0;Non
24311;Nontron;T01_10;24311;Nontron;2.0;Oui
24352;Ribérac;T01_10;24352;Ribérac;2.0;Oui
24354;La Roche-Chalais;T00_30;24354;La Roche-Chalais;1.0;Non
