Code;Libellé;Taux d'équipements socio-culturels pour 10 000 habitants 2023;Taux d'équipements sportifs pour 1 000 habitants 2023;Nombre d'équipements sportifs 2023;Nombre d'équipements socio-culturels 2023;Nombre de licenciés sportifs pour 100 habitants 2021
01345;Saint-Denis-en-Bugey;4.5;3.6;8;1.0;17.6
01346;Saint-Didier-d'Aussiat;11.7;4.7;4;1.0;28
01347;Saint-Didier-de-Formans;4.8;4.8;10;1.0;29.9
01348;Saint-Didier-sur-Chalaronne;3.3;3.7;11;1.0;15.5
01349;Saint-Éloi;19.1;1.9;1;1.0;27.3
01350;Saint-Étienne-du-Bois;3.9;4.3;11;1.0;23.2
01351;Saint-Étienne-sur-Chalaronne;6.2;3.7;6;1.0;16.9
01352;Saint-Étienne-sur-Reyssouze;0;3.4;2;0.0;16
01353;Sainte-Euphémie;5.8;2.3;4;1.0;23.9
01354;Saint-Genis-Pouilly;1.4;1.8;26;2.0;14.5
01355;Saint-Genis-sur-Menthon;20.7;4.1;2;1.0;20.9
01356;Saint-Georges-sur-Renon;0;24.6;5;0.0;23.3
01357;Saint-Germain-de-Joux;19.9;4;2;1.0;13.1
01358;Saint-Germain-les-Paroisses;23.5;2.3;1;1.0;29.7
01359;Saint-Germain-sur-Renon;0;8;2;0.0;18.5
01360;Saint-Jean-de-Gonville;5.2;3.1;6;1.0;17.9
01361;Saint-Jean-de-Niost;6.2;1.9;3;1.0;33.4
01362;Saint-Jean-de-Thurigneux;0;3.7;3;0.0;26.9
01363;Saint-Jean-le-Vieux;5.6;4.5;8;1.0;18.4
01364;Saint-Jean-sur-Reyssouze;13;1.3;1;1.0;13.9
01365;Saint-Jean-sur-Veyle;8.6;5.2;6;1.0;14.8
01366;Sainte-Julie;9.2;3.7;4;1.0;19.3
01367;Saint-Julien-sur-Reyssouze;0;6.9;5;0.0;36.8
01368;Saint-Julien-sur-Veyle;0;5.9;5;0.0;17.5
01369;Saint-Just;10.5;5.2;5;1.0;24.3
01370;Saint-Laurent-sur-Saône;6;3.6;6;1.0;15.4
01371;Saint-Marcel;8.2;3.3;4;1.0;24
01372;Saint-Martin-de-Bavel;22.7;2.3;1;1.0;26.8
01373;Saint-Martin-du-Frêne;9.9;3;3;1.0;18.6
01374;Saint-Martin-du-Mont;5.3;4.8;9;1.0;24.3
01375;Saint-Martin-le-Châtel;12.7;3.8;3;1.0;25.1
01376;Saint-Maurice-de-Beynost;2.5;2.5;10;1.0;13.5
01378;Saint-Maurice-de-Gourdans;3.7;5.2;14;1.0;35
01379;Saint-Maurice-de-Rémens;13.1;3.9;3;1.0;16.1
01380;Saint-Nizier-le-Bouchoux;16.3;8.2;5;1.0;12.1
01381;Saint-Nizier-le-Désert;10.9;4.3;4;1.0;19.4
01382;Sainte-Olive;0;6.6;2;0.0;20.3
01383;Saint-Paul-de-Varax;12.6;3.2;5;2.0;16.2
01384;Saint-Rambert-en-Bugey;4.6;5.1;11;1.0;14.5
01385;Saint-Rémy;10.4;5.2;5;1.0;30.7
01386;Saint-Sorlin-en-Bugey;9;7.2;8;1.0;22.4
01387;Saint-Sulpice;0;3.9;1;0.0;30.6
01388;Saint-Trivier-de-Courtes;9;7.2;8;1.0;19.3
01389;Saint-Trivier-sur-Moignans;5.5;4.9;9;1.0;22.5
01390;Saint-Vulbas;8;8.8;11;1.0;16
01391;Salavre;0;0;0;0.0;17.1
01392;Samognat;0;7.6;5;0.0;28.2
01393;Sandrans;0;5.4;3;0.0;23.8
01396;Sault-Brénaz;10.1;6.1;6;1.0;9
01397;Sauverny;10.1;3;3;1.0;28.7
01398;Savigneux;7;4.2;6;1.0;22.1
01399;Ségny;0;3.7;8;0.0;19
01400;Seillonnaz;0;7.2;1;0.0;6.9
01401;Sergy;4.5;3.2;7;1.0;22.2
01402;Sermoyer;15.4;6.2;4;1.0;18.5
01403;Serrières-de-Briord;7.6;7.6;10;1.0;14.3
01404;Serrières-sur-Ain;0;0;0;0.0;12.9
01405;Servas;0;7.9;10;0.0;19.5
01406;Servignat;0;0;0;0.0;13.5
01407;Seyssel;9.9;5;5;1.0;13.8
01408;Simandre-sur-Suran;15.2;6.1;4;1.0;18.3
01410;Sonthonnax-la-Montagne;0;3.3;1;0.0;17.7
01411;Souclin;0;0;0;0.0;13.5
01412;Sulignat;16.4;6.5;4;1.0;14.6
01415;Talissieu;0;1.9;1;0.0;18.7
01416;Tenay;9.9;7.9;8;1.0;8.4
01418;Thil;9.1;3.6;4;1.0;18.8
01419;Thoiry;1.6;2.1;13;1.0;18.6
01420;Thoissey;6;7.8;13;1.0;19.6
01421;Torcieu;0;8.2;6;0.0;18
01422;Tossiat;7.4;3.7;5;1.0;23.7
01423;Toussieux;8.6;4.3;5;1.0;21.8
01424;Tramoyes;0;3.3;6;0.0;28.7
01425;La Tranclière;35.2;10.6;3;1.0;21.1
01426;Val-Revermont;8;7.6;19;2.0;20
01427;Trévoux;2.9;2.3;16;2.0;22.5
01428;Valeins;0;0;0;0.0;22.5
01429;Vandeins;0;7;5;0.0;26.2
01430;Varambon;0;6.3;4;0.0;18.8
01431;Vaux-en-Bugey;8.2;4.9;6;1.0;23
01432;Verjon;0;6;2;0.0;17.7
01433;Vernoux;0;0;0;0.0;14.5
01434;Versailleux;0;12.3;6;0.0;20.5
01435;Versonnex;4.7;2.8;6;1.0;20.2
01436;Vesancy;0;6.1;3;0.0;19
01437;Vescours;0;0;0;0.0;14.9
01439;Vésines;0;0;0;0.0;30.5
01441;Vieu-d'Izenave;13.5;2.7;2;1.0;21.5
01443;Villars-les-Dombes;6.1;3.6;18;3.0;22
01444;Villebois;8.4;4.2;5;1.0;18.1
01445;Villemotier;0;8;5;0.0;20.1
01446;Villeneuve;6.4;2.6;4;1.0;25.8
01447;Villereversure;7.4;7.4;10;1.0;13
01448;Villes;0;2.5;1;0.0;19
01449;Villette-sur-Ain;0;11.8;9;0.0;24.2
01450;Villieu-Loyes-Mollon;2.7;1.6;6;1.0;21.3
01451;Viriat;1.5;2.6;17;1.0;28.7
01452;Virieu-le-Grand;8.9;6.2;7;1.0;10.5
01453;Arvière-en-Valromey;14;2.8;2;1.0;11
01454;Virignin;0;3.6;4;0.0;23.8
01456;Vongnes;0;0;0;0.0;13.8
01457;Vonnas;3.1;4.1;13;1.0;21.1
02001;Abbécourt;0;5.9;3;0.0;16.4
02002;Achery;0;3.3;2;0.0;12.5
02003;Acy;0;4.9;5;0.0;18.4
02004;Agnicourt-et-Séchelles;0;0;0;0.0;12
02005;Aguilcourt;0;5.2;2;0.0;17.1
02006;Aisonville-et-Bernoville;0;0;0;0.0;14.6
02007;Aizelles;0;0;0;0.0;15.2
02008;Aizy-Jouy;0;0;0;0.0;11.9
02009;Alaincourt;18.8;9.4;5;1.0;15.4
02010;Allemant;0;11.7;2;0.0;8.2
02011;Ambleny;8.6;5.2;6;1.0;16.9
02012;Ambrief;0;0;0;0.0;18.7
02013;Amifontaine;0;5.1;2;0.0;17.9
02014;Amigny-Rouy;0;4.2;3;0.0;16.9
02015;Ancienville;0;0;0;0.0;18.9
02016;Andelain;0;0;0;0.0;20.1
02017;Anguilcourt-le-Sart;0;3.2;1;0.0;22
02018;Anizy-le-Grand;3.9;7;18;1.0;18.3
02019;Annois;0;0;0;0.0;12.8
02020;Any-Martin-Rieux;0;4.4;2;0.0;11.4
02021;Archon;0;0;0;0.0;11.2
02022;Arcy-Sainte-Restitue;0;5;2;0.0;14.5
02023;Armentières-sur-Ourcq;0;9.9;1;0.0;13
02024;Arrancy;0;0;0;0.0;8.3
02025;Artemps;0;8.2;3;0.0;15.7
02027;Assis-sur-Serre;0;4.8;1;0.0;8.2
02028;Athies-sous-Laon;0;3.1;8;0.0;17.1
02029;Attilly;0;0;0;0.0;19.5
02030;Aubencheul-aux-Bois;0;0;0;0.0;18.3
02031;Aubenton;15.2;7.6;5;1.0;10.6
02032;Aubigny-aux-Kaisnes;0;15.7;4;0.0;10
02033;Aubigny-en-Laonnois;0;0;0;0.0;15
02034;Audignicourt;0;0;0;0.0;7.4
02035;Audigny;0;10.6;3;0.0;14.4
02036;Augy;0;0;0;0.0;7.8
02037;Aulnois-sous-Laon;7.2;2.9;4;1.0;28.5
02038;Les Autels;0;16.7;1;0.0;4
02039;Autremencourt;0;5.7;1;0.0;5.4
02040;Autreppes;0;5.7;1;0.0;5.5
02041;Autreville;0;2.5;2;0.0;16.4
02042;Azy-sur-Marne;0;7.9;3;0.0;12.5
02043;Bagneux;0;15.6;1;0.0;13.3
02044;Bancigny;0;0;0;0.0;11.4
02046;Barenton-Bugny;0;7.2;4;0.0;14.7
02047;Barenton-Cel;0;0;0;0.0;16.8
02048;Barenton-sur-Serre;0;0;0;0.0;26.4
02049;Barisis-aux-Bois;13.5;4.1;3;1.0;21.2
02050;Barzy-en-Thiérache;0;0;0;0.0;9.2
02051;Barzy-sur-Marne;0;0;0;0.0;10.4
02052;Bassoles-Aulers;0;0;0;0.0;8.6
02053;Vallées en Champagne;0;5.2;3;0.0;9.2
02055;Beaumé;0;11.5;1;0.0;8
02056;Beaumont-en-Beine;0;5.6;1;0.0;12
02057;Beaurevoir;7.1;7.8;11;1.0;16.2
02058;Beaurieux;0;3.5;3;0.0;11.7
02059;Beautor;0;6.3;17;0.0;11.1
02060;Beauvois-en-Vermandois;0;15.7;4;0.0;10
02061;Becquigny;0;8.2;2;0.0;12
02062;Belleau;0;7.4;1;0.0;9.6
02063;Bellenglise;0;5.3;2;0.0;15.6
02064;Belleu;2.7;4.3;16;1.0;18.2
02065;Bellicourt;0;5.1;3;0.0;18
02066;Benay;0;5.2;1;0.0;14.1
02067;Bergues-sur-Sambre;0;0;0;0.0;20.5
02068;Berlancourt;0;0;0;0.0;13.3
02069;Berlise;0;0;0;0.0;6.7
02070;Bernot;0;0;0;0.0;14.9
02071;Berny-Rivière;15.4;18.5;12;1.0;14
02072;Berrieux;0;0;0;0.0;24.4
02073;Berry-au-Bac;0;4.4;3;0.0;12
02074;Bertaucourt-Epourdon;0;6.8;4;0.0;15.9
02075;Berthenicourt;0;0;0;0.0;25.9
02076;Bertricourt;0;6.5;1;0.0;21.7
