insee_com;lib_com
61483;Bagnoles de l'Orne Normandie
61508;Vimoutiers
62063;Avesnes-le-Comte
62268;Desvres
62516;Lillers
62588;Montreuil-sur-Mer
63281;Pionsat
63291;Puy-Guillaume
63354;Saint-Gervais-d'Auvergne
64371;Mauléon-Licharre
64416;Navarrenx
64430;Orthez
64453;Pontacq
64485;Saint-Jean-Pied-de-Port
65025;Argelès-Gazost
65375;Rabastens-de-Bigorre
65389;Saint-Laurent-de-Neste
66016;Banyuls-sur-Mer
66071;Estagel
66124;Font-Romeu-Odeillo-Via
66148;Port-Vendres
66164;Rivesaltes
66180;Saint-Laurent-de-la-Salanque
66210;Thuir
67021;Barr
67061;Bouxwiller
67101;Dorlisheim
67414;Rothau
67507;Villé
68068;Dannemarie
68201;Masevaux-Niederbruck
68226;Munster
68249;Orbey
68298;Sainte-Marie-aux-Mines
68334;Thann
69141;Mornant
70122;Champlitte
71073;Chagny
71133;La Clayette
71289;Matour
71394;Saint-Bonnet-de-Joux
72023;Ballon-Saint Mars
72035;Bessé-sur-Braye
72039;Bonnétable
72189;Marolles-les-Braults
72223;Noyen-sur-Sarthe
73236;Saint-Genix-les-Villages
73270;Saint-Pierre-d'Albigny
73303;Ugine
74026;La Balme-de-Sillingy
74056;Chamonix-Mont-Blanc
74081;Cluses
74256;Sallanches
76051;Bacqueville-en-Caux
76114;Bolbec
76164;Rives-en-Seine
76400;Luneray
76758;Yvetot
77327;Nangis
77475;Trilport
79013;Argentonnay
79062;Cerizay
79148;Lezay
79311;Secondigny
80010;Ailly-sur-Noye
80222;Crécy-en-Ponthieu
80318;Flixecourt
80606;Oisemont
81037;Brassac
81060;Carmaux
81140;Lavaur
81220;Rabastens
82087;Lafrançaise
82097;Lavit
82112;Moissac
82115;Monclar-de-Quercy
82155;Saint-Antonin-Noble-Val
83012;Barjols
83031;Le Cannet-des-Maures
83071;La Londe-les-Maures
84019;Bollène
84026;Cadenet
84138;Valréas
85059;La Châtaigneraie
85215;Saint-Fulgent
86082;Valence-en-Poitou
86137;Loudun
87064;Eymoutiers
87161;Saint-Léonard-de-Noblat
88029;La Vôge-les-Bains
88321;Neufchâteau
88372;Raon-l'Étape
88487;Le Val-d'Ajol
88516;Vittel
89344;Saint-Fargeau
91016;Angerville
91105;Breuillet
95250;Fosses
97106;Bouillante
97202;Les Anses-d'Arlet
97204;Le Carbet
97225;Saint-Pierre
97403;Entre-Deux
97406;La Plaine-des-Palmistes
1033;Valserhône
