Code;M�diane du revenu disponible par UC 2020;Part des 60-74 ans 2021;Part des moins de 15 ans 2021;Part des 15-29 ans 2021;Part des 30-44 ans 2021;Part des 45-59 ans 2021;Nombre grandes surfaces 2023;Nombre de sup�rettes et �pieries;Nombre boulangeries et patisseries;Nombre �coles primaires maternelles �l�mentaires;Nombre de coll�ges;Nombre de lyc�es;Nombre de m�decins g�n�ralistes;Nombre de dentistes;Nombre de pharmacies
17007;22600;18;17.9;12.9;19.3;26.7;0;0;0;0;0;0;0;0;0
17008;23520;19.4;19.7;13.4;21.3;20.6;3;0;0;3;0;0;2;1;1
17009;23690;8.8;26;14.9;29.9;17.3;0;0;4;1;0;0;3;0;0
17010;26490;25.9;13.4;12.5;14;21;5;3;6;2;0;0;3;2;1
17011;19890;22.8;20.3;8.3;21.2;21.4;0;0;0;0;0;0;0;0;0
17012;22060;10.9;16.6;15.4;13.5;27.6;0;0;0;0;0;0;0;0;0
17013;21100;22.9;14.6;13;15.5;20.8;0;0;0;1;0;0;0;0;0
17015;20240;23.1;14.9;12.2;16.8;24.7;0;0;1;1;0;0;0;0;0
17016;20890;21.8;14.5;12.4;14.1;18.7;1;0;2;1;1;0;3;0;1
17017;19470;22;17.4;13.7;18.3;19.5;0;0;0;1;0;0;0;0;0
17018;22000;14;21.7;14.2;22;23.2;0;0;2;1;0;0;0;0;0
17019;24430;24.2;11.2;10;15.8;18.3;1;1;2;1;0;0;3;0;1
17020;22570;19.1;18.9;13.5;23.3;15.6;0;0;0;1;0;0;0;0;0
17021;21190;28.5;12.1;10.4;13.6;19.4;4;0;4;2;0;0;3;2;1
17022;21730;21.5;15.7;12.6;16.2;24.2;0;0;1;1;0;0;0;0;0
17023;19250;18.8;17.1;14.1;18.7;20.3;0;0;0;1;0;0;0;0;0
17024;19410;27;11.8;10;11;21.7;2;0;4;2;1;0;3;1;1
17025;20350;26;14.1;10.9;13;24.4;0;0;0;1;0;0;0;0;0
17026;19230;23.8;16.3;13.3;16;18.9;0;1;0;1;0;0;0;0;0
17027;21160;22.1;12;11.4;15.2;27.9;0;0;0;1;0;0;0;0;0
17028;22070;18.4;13.5;19.8;19.3;17.4;7;3;9;5;1;0;13;8;3
17029;21700;30.2;12.9;10.1;14.5;17.9;0;0;0;0;0;0;0;0;0
17030;20520;17.8;19.8;16;21.3;17.6;0;0;1;1;0;0;0;0;0
17031;22030;23.2;11.4;12.4;21.6;21.6;0;0;0;1;0;0;0;0;0
17032;22260;16.4;21.8;12.7;25.8;18.3;0;0;0;1;0;0;0;0;0
17033;19680;19.1;19.1;12.6;20.2;16.8;0;0;0;0;0;0;0;0;0
17034;20900;23.9;10.2;8.8;12.3;16.5;0;0;0;0;0;0;0;0;0
17035;18640;34;5.6;9.2;4.5;20.2;0;0;0;0;0;0;0;0;0
17036;22570;16.3;23.7;10;23.3;21.8;0;0;0;1;0;0;0;0;0
